future_price,CallDelta,CallIV,CallLTP,CallOI,CallVega,PutDelta,PutIV,PutLTP,PutOI,PutVega,Strikes,index_x,index_y,name
21575.1,34.49,14.87,41.9,11289850,452.18,-64.42,16.03,120.95,4024950,457.36,21600,66,184,
21588,37.69,13.92,44.35,11870100,464.54,-60.08,17,112.95,3979900,472.32,21600,65,206,
21599.6,38.35,14.65,47.6,11774700,464.95,-61.13,15.33,104.45,4267700,466.79,21600,58,190,
21599.5,39.91,13.97,47.9,11705700,468.3,-58.52,16.51,103.9,4292000,472.8,21600,63,197,
21595.2,36.54,14.79,44.45,11784450,453.61,-63.54,14.71,106.3,4198050,453.3,21600,61,198,
21574.5,32.99,14.31,37.1,12050850,434.58,-65.08,16.21,121.85,3918650,444.13,21600,60,191,
21563.95,31.43,14.36,34.65,12195500,423.82,-66.11,16.67,128.4,3892650,437.02,21600,61,200,
21540,35.5,15.02,42.65,6385750,441.84,-63.11,16.64,116.95,4618600,447.64,21550,73,206,
21553.2,28.08,14.89,30.5,12241200,398.42,-70.95,15.64,136.65,3426450,404.91,21600,61,200,
21569.95,30.68,14.01,32.25,12257300,413.51,-66.43,16.62,127.35,3400900,429.29,21600,64,167,
21557.05,27.41,14.13,27.65,12622750,388.2,-69.7,16.42,136.5,3288250,407,21600,69,167,
21564.9,28.93,14.91,31.5,12418650,400.38,-71.37,14.68,128.5,3414000,398.4,21600,56,166,
21597,35.74,13.88,38.95,12739600,433.57,-63.22,14.98,103.35,3223700,437.8,21600,72,192,
21603.8,26.18,15.26,27.85,6914200,376.27,-77.88,12.7,132.1,1505850,343.35,21650,73,207,
21590.85,33.59,14.4,36.65,10648000,419.29,-67.07,13.81,105.1,3243000,416,21600,67,196,
21637.5,32.27,14.32,34.4,5570450,411.38,-70.35,12.35,102.75,1706000,396.42,21650,77,201,
21707.9,24.09,15.61,25.25,6367350,356.14,0,0,114.45,771100,0,21750,91,232,
21700.25,20.22,13.95,17.9,6515700,320.41,0,0,115.05,881650,0,21750,82,215,
21755,17.67,17.78,9.8,12192850,150.18,-87.04,14.63,101.45,1105900,122.18,21800,34,96,
21747.5,31.73,15.34,17.85,16583750,202.15,-64.26,19.9,68.9,4042950,211.71,21750,79,218,
21727.1,23.43,16.02,12.15,20548950,170.21,-72.36,19.53,83.1,3214450,185.57,21750,85,212,
21712.9,18.39,16.31,8.85,23087150,144.16,-79.1,18.13,91.55,3264650,155.83,21750,77,191,
21712.05,19.44,14.57,8.3,25808500,145.85,-74.18,19.32,82.7,3301000,171.3,21750,72,191,
21687.75,27.25,13.92,12,43006750,171.57,-69.16,16.81,60.8,13393700,181.81,21700,78,201,
21699.5,30.53,12.8,12.55,46479250,176.49,-65.77,16.03,51.35,12818050,185.02,21700,64,194,
21690.05,25.13,13.47,9.9,49678450,156.13,-69.13,18.05,61.85,10065900,172.52,21700,75,175,
21695.5,26,14.53,10.85,51841600,154.41,-72.06,15.98,57.8,10296500,160.07,21700,59,173,
21687.35,23.46,13.99,8.85,54370050,141.76,-71.41,17.88,61.6,10425500,156.99,21700,79,178,
21695,28.43,13.03,10.3,55464400,151.67,-64.01,20.64,55.9,11233600,167.33,21700,69,164,
21694.05,25.89,13.58,9.15,57808650,139.79,-67.67,19.12,55.45,11593400,155.13,21700,61,171,
21685.05,22.34,12.99,6.95,59930050,124.28,-68.16,20.88,59.15,11765700,148.49,21700,62,173,
21708.5,12.37,17.37,4.25,29053200,81.73,-81.46,22.42,89.65,2354250,106.9,21750,75,182,
21701.6,10.99,17.26,3.5,29624350,71.9,-79.34,25.86,92.85,2740050,109.26,21750,76,177,
21715,12.52,18.32,4.15,29666600,75.19,-88.26,17.72,80.8,3085450,71.85,21750,77,193,
21707.55,11.08,17.82,3.3,30451900,65.4,-76.75,29.75,89.55,2948300,105.72,21750,86,181,
21696,20.91,12.73,4.9,62852650,93.72,-65.93,25,52.1,14606550,119.54,21700,81,187,
21692,17.29,14.87,4.2,63568550,77.94,-74.84,20.91,52.35,13653700,97.13,21700,71,173,
21699.15,19.05,14.9,4.4,64804050,76.61,-72.03,22.33,47.75,14310750,94.85,21700,69,191,
21640.55,21.41,16.18,5.05,45497100,74.75,-66.42,30.15,50.1,16190500,93.53,21650,92,207,
21689.45,13.95,16.27,2.65,50780250,50.96,-70.59,32.45,54.25,7947800,79.07,21700,86,197,
21678.9,6.04,17.45,0.9,52356750,23.73,-85.98,25.06,57.25,8258950,44.12,21700,71,181,
21674.8,3.31,19.17,0.4,54022650,11.86,0,0,56.7,9335750,0,21700,94,195,
21677,1.65,22.74,0.15,35707800,4.58,-97.03,25.72,54.6,7255700,7.53,21700,87,166,
21760,43.72,11.15,102.25,2524150,1122.08,-55.84,11.9,163.3,538900,1123.97,21800,33,87,
21777,44.74,11.01,104.55,4252400,1125.81,-55.35,10.85,146.45,2155350,1125.47,21800,81,217,
21777,45.34,11.01,106.6,4717750,1127.26,-54.58,11.17,147.3,2470300,1127.5,21800,79,217,
21800,46.95,11.42,116.4,4526900,1131.33,-53.26,10.8,136.8,2855900,1130.87,21800,68,213,
21845,47.38,11.54,119.55,1978800,1134.04,-52.53,11.85,147.15,1113000,1134.2,21850,74,217,
21858.6,42.31,11.76,102.65,4030350,1114.68,-58.02,11.31,165.25,1414300,1112.83,21900,84,228,
21876.35,43.57,12.61,114.9,4235250,1120.49,-57.51,10.91,157,1633750,1115.07,21900,74,226,
21881.75,46.03,11.33,112.25,4923850,1130.06,-53.72,11.97,154,1794600,1130.73,21900,78,222,
21869.2,43.87,11.88,109.25,4596850,1120.26,-56.26,11.65,161.45,1926700,1119.68,21900,68,216,
21874,44.97,11.65,111.15,4745400,1124.23,-54.83,12.08,160.35,2001500,1124.93,21900,64,221,
21883,45.19,12.19,117,4720850,1124.05,-55.11,11.55,154.4,2144000,1123,21900,61,226,
21872.1,44.39,11.93,111.35,4881500,1119.84,-55.7,11.75,159.75,2290300,1119.46,21900,70,205,
21869.9,44.12,11.72,108.35,5050250,1117.68,-55.95,11.6,158.75,2156900,1117.4,21900,64,195,
21873.9,43.91,11.88,108.9,5152750,1115.73,-56.41,11.33,156.95,2207550,1114.29,21900,64,188,
21872.5,44.83,11.45,108.3,5230550,1118.96,-54.97,11.87,157.5,2224200,1119.68,21900,64,204,
21907,41.44,12.44,104.6,1628950,1102.23,-59.65,11.09,168.8,643650,1095.11,21950,82,231,
21904.05,41.23,12.13,101.15,1677600,1099.97,-59.7,11.02,167.8,680600,1093.88,21950,78,232,
21923.95,42.31,12.94,112,1775350,1105.64,-59.77,10.3,157,789700,1092.67,21950,76,232,
21936,45.24,12.27,117.45,1789250,1119.16,-55.3,11.14,149,875350,1117.22,21950,86,233,
21948,45.05,13.35,126.75,1941150,1117.24,-56.35,10.65,146.85,937000,1111.63,21950,82,227,
21938.6,44.47,13.11,121.95,2029850,1113.89,-56.98,10.59,148.5,978000,1107.45,21950,71,223,
21958.25,41.3,12.89,107.5,4478500,1097.97,-60.61,10.66,166.25,2130700,1084.84,22000,87,224,
21966.55,42.94,12.52,110.6,4259650,1107.09,-58.14,10.97,159.2,2267350,1101.29,22000,80,236,
21962,42.48,12.24,106.35,4397450,1103.64,-58.17,11.32,164.45,2011600,1100.02,22000,88,235,
21945,45.32,12.06,115.15,2167550,1113.75,-55.34,10.69,142.45,1138850,1111.39,21950,76,234,
22053.65,42.1,14.28,90.6,3546000,814.52,-57.69,14.64,154.95,682450,815.38,22100,41,98,
22088,47.29,14.32,108.25,4952300,829.11,-52.57,14.96,135.85,2240000,829.3,22100,90,246,
22064.05,44.94,14.28,99.65,5670800,822.37,-54.69,15.26,147.5,2837750,823.29,22100,80,246,
22004.1,41.64,15.62,96.75,2958850,806.51,-59.42,13.92,153.7,2055050,801.56,22050,85,237,
22036.05,46.7,14.58,107.3,3286450,822.15,-53.21,14.93,137.2,1779650,822.3,22050,69,226,
22052,41.53,14.59,90,6591400,805.37,-58.58,14.42,155.25,2056100,804.9,22100,69,229,
22043.3,48.3,14.23,110,3435200,822.01,-51.58,15.01,130.9,1889750,822.11,22050,66,213,
22061.6,43.82,13.75,91.65,6648600,812.24,-55.73,14.74,145.6,2290300,813.62,22100,65,229,
